order_id,order_date,total,status,first_name,last_name,address,city,state,postal_code,phone,email
,2021-06-01 13:36:09,0,Refunded,LIONEL,SIMMERS,1403 BOWMAN LANE,MONTGOMERY,AL,36104,334-718-6992,LSIMMERS11@COMSENZ.COM
,2021-12-04 06:05:00,0,Canceled,JOELL,NOWLAND,48166 LOFTSGORDON PLACE,DENVER,CO,80249,720-708-6485,JNOWLAND12@ENGADGET.COM
,2021-04-17 11:11:47,0,Refunded,ALLIE,WOGDON,81745 DUNNING JUNCTION,PORTSMOUTH,NH,214,603-341-2925,AWOGDON13@HOWSTUFFWORKS.COM
,2021-10-22 14:55:42,0,Completed,BARN,HOULAGHAN,3 VILLAGE GREEN COURT,AMARILLO,TX,79176,806-497-1946,BHOULAGHAN14@WORDPRESS.COM
,2021-10-24 08:39:03,0,Awaiting Shipment,ALLEGRA,HEYWARD,744 DAYTON PLAZA,RIVERSIDE,CA,92519,951-891-0530,AHEYWARD15@YCOMBINATOR.COM
,2021-08-06 00:28:30,0,Completed,NANNIE,CUERDA,15 WAYWOOD COURT,NEW ORLEANS,LA,70154,504-364-7314,NCUERDA16@GOOGLE.CO.UK
,2021-04-26 04:57:01,0,Refunded,SHAINA,SMY,98 CRESCENT OAKS STREET,SAINT LOUIS,MO,63196,314-616-6877,SSMY17@STATE.TX.US
,2021-05-03 13:46:19,0,Completed,RANDELL,RYMELL,6159 WESTERFIELD CROSSING,WHITE PLAINS,NY,10633,914-484-8586,RRYMELL18@HUD.GOV
,2021-03-05 22:14:12,0,Awaiting Shipment,MANDI,NOBLE,0957 SACHS AVENUE,LOUISVILLE,KY,40250,502-917-0706,MNOBLE19@NBA.COM
,2021-09-20 12:14:27,0,Completed,GERRY,MARTIN,6472 BULTMAN PLACE,LITTLETON,CO,80161,303-327-7971,GMARTIN1A@TECHCRUNCH.COM
,2021-05-21 09:39:16,0,Refunded,TATE,CHIPPERFIELD,291 MELBY DRIVE,PITTSBURGH,PA,15266,-275-0314,TCHIPPERFIELD1B@DEVIANTART.COM
,2021-07-29 02:35:35,0,Completed,ELTON,O'GENEAY,64161 SUPERIOR CROSSING,BROOKLYN,NY,11210,718-225-6524,EOGENEAY1C@SBWIRE.COM
,2021-09-12 15:19:37,0,Completed,ELYSIA,SPALLS,490 CLEMONS STREET,ATLANTA,GA,30311,404-974-5058,ESPALLS1D@TRELLIAN.COM
,2021-07-19 03:43:37,0,Completed,MARIBETH,FAIERS,3442 GATEWAY PARK,EL PASO,TX,79977,915-681-6329,MFAIERS1E@SHUTTERFLY.COM
,2021-01-27 19:48:15,0,Completed,REMUS,MEECHAN,16137 CAMBRIDGE HILL,ROANOKE,VA,24048,540-427-1763,RMEECHAN1F@WIKISPACES.COM
,2021-03-04 18:49:01,0,Canceled,SARINA,FRYE,3214 PARKSIDE LANE,AMARILLO,TX,79171,806-462-4995,SFRYE1G@ACQUIRETHISNAME.COM
,2021-04-02 23:25:06,0,Completed,MERREL,GARMEY,51499 MALLARD TERRACE,ROCHESTER,NY,14639,585-253-6487,MGARMEY1H@TUTTOCITTA.IT
,2021-07-04 20:59:13,0,Completed,KIM,CLEAR,136 RIDGEWAY PASS,IRVINE,CA,92619,949-506-9745,KCLEAR1I@BUSINESSINSIDER.COM
,2021-11-08 10:35:13,0,Completed,GEORGI,ALBROOKE,744 BONNER AVENUE,WASHINGTON,DC,20580,202-684-8182,GALBROOKE1J@YAHOO.CO.JP
,2021-11-04 16:13:54,0,Completed,BRENDAN,BRAZIER,2 JANA HILL,WASHINGTON,DC,20010,202-490-0391,BBRAZIER1K@YOUKU.COM
,2021-09-13 21:44:10,0,Completed,KIMMIE,THIOLIER,01139 MANDRAKE PLACE,BROOKLYN,NY,11247,212-385-4584,KTHIOLIER1L@GOOGLE.COM
,2021-10-06 19:22:40,0,Completed,EARL,NAJAFIAN,48511 NORTHLAND ROAD,BALTIMORE,MD,21281,410-716-5711,ENAJAFIAN1M@LINKEDIN.COM
,2021-11-16 06:39:50,0,Refunded,RONA,LE GROVE,63 WARRIOR JUNCTION,PETALUMA,CA,94975,707-369-4872,RLEGROVE1N@PHPBB.COM
,2021-04-16 01:51:38,0,Completed,SYDNEY,FRANTZEN,7 UPHAM CROSSING,KNOXVILLE,TN,37919,865-471-8887,SFRANTZEN1O@SO-NET.NE.JP
,2021-06-28 06:24:14,0,Canceled,HEWET,MCLUKIE,7 ARIZONA POINT,DALLAS,TX,75323,214-633-6274,HMCLUKIE1P@POSTEROUS.COM
,2021-02-07 01:25:40,0,Completed,NEALY,ASKIN,2129 GLACIER HILL TERRACE,TERRE HAUTE,IN,47812,812-117-6048,NASKIN1Q@FTC.GOV
,2021-09-08 18:38:53,0,Canceled,GABRIEL,COVERT,5730 BLACKBIRD LANE,LAS VEGAS,NV,89140,702-765-0852,GCOVERT1R@WIKIA.COM
,2021-01-11 00:33:21,0,Awaiting Shipment,AVROM,BENIESH,0 MENOMONIE PLAZA,WACO,TX,76711,254-707-1148,ABENIESH1S@BOOKING.COM
,2021-10-25 01:32:17,0,Completed,HUBEY,SHANKSTER,422 FARRAGUT COURT,LOS ANGELES,CA,90081,213-847-6925,HSHANKSTER1T@GOO.NE.JP
,2021-02-04 14:31:02,0,Awaiting Shipment,DORRY,JIRKA,32 BUTTERFIELD CIRCLE,COLUMBUS,GA,31914,706-509-5935,DJIRKA1U@GOOGLE.DE
,2021-02-26 17:14:33,0,Completed,DAHLIA,MOYSEY,9 LUKKEN TRAIL,FORT WORTH,TX,76178,682-462-5117,DMOYSEY1V@SPHINN.COM
,2021-10-23 04:43:47,0,Completed,TIM,LIVOCK,834 NORWAY MAPLE PASS,VANCOUVER,WA,98682,360-356-5279,TLIVOCK1W@BUSINESSWIRE.COM
,2021-05-14 13:45:32,0,Canceled,DRONA,FEAKE,59 SPRINGS POINT,ANCHORAGE,AK,99522,907-957-6856,DFEAKE1X@ARTISTEER.COM
,2021-05-02 15:50:35,0,Refunded,SAPPHIRA,FRACZEK,3 LUSTER ALLEY,JEFFERSON CITY,MO,65105,573-725-4824,SFRACZEK1Y@SEATTLETIMES.COM
,2021-09-05 10:32:01,0,Canceled,JACOBO,BEALTON,28 CLARENDON TRAIL,PENSACOLA,FL,32575,850-272-8840,JBEALTON1Z@CDC.GOV
,2021-01-11 18:11:01,0,Completed,LEV,PHILPS,1 BADEAU DRIVE,SEATTLE,WA,98175,206-276-7016,LPHILPS20@FORBES.COM
,2021-01-29 05:10:58,0,Awaiting Shipment,EVANGELINA,KNIBLEY,9 BUTTERNUT CROSSING,FRESNO,CA,93704,209-229-7208,EKNIBLEY21@PHOTOBUCKET.COM
,2021-02-08 13:27:04,0,Completed,GWENNI,SIRMAN,99009 GRANBY HILL,NASHVILLE,TN,37215,615-273-1821,GSIRMAN22@REDIFF.COM
,2021-09-21 09:28:12,0,Completed,NORA,BRAITHWAIT,9 EAGLE CREST LANE,HUNTINGTON BEACH,CA,92648,562-551-0567,NBRAITHWAIT23@SYMANTEC.COM
,2021-04-07 00:52:41,0,Awaiting Shipment,CHLOE,SAWER,7394 NORTHPORT POINT,CONCORD,CA,94522,925-812-9151,CSAWER24@163.COM
,2021-06-08 07:00:56,0,Awaiting Shipment,FARLAY,GILSTIN,466 LAKEWOOD GARDENS POINT,NEW YORK CITY,NY,10034,917-476-2043,FGILSTIN25@W3.ORG
,2021-08-29 09:36:51,0,Completed,PADRIAC,BOYET,7533 HOLLOW RIDGE AVENUE,BEAUMONT,TX,77705,409-267-1500,PBOYET26@YELLOWPAGES.COM
,2021-09-10 05:42:42,0,Refunded,BLINNI,IVASHEV,10226 KIM STREET,COLORADO SPRINGS,CO,80930,719-804-0009,BIVASHEV27@SINA.COM.CN
,2021-01-26 18:12:03,0,Completed,TABOR,HOUTBY,37682 TOWNE LANE,KILLEEN,TX,76544,254-611-6216,THOUTBY28@WILEY.COM
,2021-03-30 05:43:21,0,Awaiting Shipment,ROSELLA,FERRELI,0303 SUGAR PLACE,ANDERSON,IN,46015,765-321-6559,RFERRELI29@BIGCARTEL.COM
,2021-08-26 17:27:36,0,Completed,FRANK,WAGGATT,2 INDEPENDENCE ROAD,KISSIMMEE,FL,34745,407-408-9034,FWAGGATT2A@VA.GOV
,2021-09-03 20:31:00,0,Completed,FERGUSON,HARDISTY,273 LONDONDERRY LANE,LOS ANGELES,CA,90020,562-247-0762,FHARDISTY2B@HOSTGATOR.COM
,2021-05-15 02:05:09,0,Awaiting Shipment,GIANA,EDDIE,0001 WELCH PLAZA,SAN JOSE,CA,95194,408-776-6237,GEDDIE2C@GOOGLE.FR
,2021-08-14 01:04:53,0,Completed,ALIX,BINNELL,9479 DIVISION CROSSING,HONOLULU,HI,96825,808-653-7411,ABINNELL2D@USGS.GOV
,2021-01-20 08:04:40,0,Awaiting Shipment,EVELIN,HARCUS,2380 ONSGARD CIRCLE,NASHVILLE,TN,37215,615-996-2135,EHARCUS2E@VKONTAKTE.RU
,2021-12-03 10:37:20,0,Completed,TANNER,TICHNER,7 INTERNATIONAL PLACE,DALLAS,TX,75379,214-686-2773,TTICHNER2F@BOOKING.COM
,2021-05-29 03:56:04,0,Completed,JOHNATHON,SECCOMBE,26 MERCHANT WAY,ANNAPOLIS,MD,21405,443-956-2627,JSECCOMBE2G@UPENN.EDU
,2021-05-21 22:54:31,0,Canceled,FERDINANDE,MATYUSHKIN,922 RYAN CROSSING,TYLER,TX,75799,903-492-7056,FMATYUSHKIN2H@NPS.GOV
,2021-08-29 03:38:56,0,Completed,SHEFFY,BIRTWISTLE,808 FARRAGUT PASS,RICHMOND,VA,23225,804-715-7144,SBIRTWISTLE2I@4SHARED.COM
,2021-09-08 11:03:05,0,Completed,ELIE,JAGGARD,521 SCHURZ TRAIL,TYLER,TX,75710,903-921-3212,EJAGGARD2J@CBC.CA
,2021-03-16 04:48:51,0,Completed,SHARL,LONGHI,83785 BUELL TERRACE,ALBUQUERQUE,NM,87115,505-582-3082,SLONGHI2K@TRIPOD.COM
,2021-01-23 06:17:30,0,Awaiting Shipment,JOSEE,TOFFEL,0746 ELKA PARK,AKRON,OH,44310,330-112-8668,JTOFFEL2L@DIGG.COM
,2021-09-09 05:47:50,0,Completed,GUNILLA,ROBERTS,28 FULTON CROSSING,NEW YORK CITY,NY,10292,212-837-1720,GROBERTS2M@NETVIBES.COM
,2021-07-13 19:13:49,0,Refunded,BORD,KEWLEY,39 LONGVIEW DRIVE,ERIE,PA,16565,814-829-0085,BKEWLEY2N@EARTHLINK.NET
,2021-06-12 10:25:53,0,Completed,FAYE,LIGHTBOWN,418 LAKELAND LANE,WASHINGTON,DC,20099,202-258-7731,FLIGHTBOWN2O@FLICKR.COM
,2021-03-27 12:04:16,0,Completed,VERGIL,MARTINE,8896 LOGAN TRAIL,DANBURY,CT,6816,203-208-4677,VMARTINE2P@DEVHUB.COM
,2021-02-23 02:09:02,0,Refunded,JUSTINA,COATEN,74 STONE CORNER LANE,SAN ANTONIO,TX,78255,210-400-5398,JCOATEN2Q@SHAREASALE.COM
,2021-11-08 01:14:57,0,Completed,ARNY,BETHELL,586 FAIR OAKS PASS,GRAND RAPIDS,MI,49510,616-490-3410,ABETHELL2R@DRUPAL.ORG
